,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000000003,ENSG00000000003,747.194195359907,-0.350703020686581,0.168245681332528,-2.08446967499532,0.0371174658432805,0.163034808641671
ENSG00000000005,ENSG00000000005,0,NA,NA,NA,NA,NA
ENSG00000000419,ENSG00000000419,520.134160051965,0.206107766417862,0.101059218008048,2.03947517584638,0.0414026263001086,0.176031664879167
ENSG00000000457,ENSG00000000457,322.664843927049,0.0245269479387466,0.145145067649247,0.168982303952744,0.865810560623563,0.96169423840439
ENSG00000000460,ENSG00000000460,87.682625164828,-0.147142049222119,0.257007253994673,-0.572520996723186,0.566969065257942,0.815848587637736
ENSG00000000938,ENSG00000000938,0.319166568913118,-1.73228897394308,3.49360097648095,-0.495846258804286,0.620002884826012,NA
ENSG00000000971,ENSG00000000971,5760.14836162122,0.459281905807022,0.234311633845519,1.96013274402681,0.04998027694213,0.200944465782503
ENSG00000001036,ENSG00000001036,2025.39179382894,-0.228243688351361,0.12500530831828,-1.82587196833452,0.0678695494953272,0.24679095488757
ENSG00000001084,ENSG00000001084,652.173308358757,-0.253030787429103,0.202576594239606,-1.24906230346543,0.21164228693917,0.495030491999032
ENSG00000001167,ENSG00000001167,411.684395281717,-0.53373339657376,0.228791461148915,-2.33283792101999,0.0196566535721821,0.105268747648762
ENSG00000001460,ENSG00000001460,201.336569053853,-0.123556348103777,0.161114727309944,-0.766884257986462,0.443150334000458,0.730583672002947
ENSG00000001461,ENSG00000001461,2918.77668675377,0.00210152395872179,0.28870434404301,0.00727915600192254,0.994192125099888,0.998014166808365
ENSG00000001497,ENSG00000001497,539.501702816792,-0.0573211492611298,0.109341581209848,-0.524239256711675,0.600112139778734,0.837621133648468
ENSG00000001561,ENSG00000001561,115.914401421895,0.286816638209836,0.715972980501578,0.40059701416233,0.688716844327049,0.887117297132829
ENSG00000001617,ENSG00000001617,604.297522477042,-0.192202806884421,0.198690550510315,-0.967347497859205,0.333370346699498,0.639074750802633
ENSG00000001626,ENSG00000001626,9.6724145714589,-0.286388065302528,0.586258600932595,-0.488501260104251,0.625194833386449,NA
